iter	Passed	Remaining
0	2218	219611
1	3975	194780
2	5724	185081
3	7574	181788
4	9336	177397
5	11010	172491
6	12844	170642
7	14571	167570
8	16313	164951
9	18052	162471
10	19749	159788
11	21386	156832
12	23048	154247
13	24728	151901
14	26477	150038
15	28214	148125
16	30000	146474
17	31508	143540
18	33221	141629
19	35132	140528
20	36881	138745
21	38958	138125
22	40746	136412
23	42422	134337
24	44223	132669
25	45987	130886
26	47976	129714
27	49834	128145
28	51834	126905
29	53523	124888
30	55510	123555
31	57011	121149
32	58512	118798
33	60272	117000
34	62345	115785
35	64179	114097
36	65803	112044
37	67415	109994
38	69087	108059
39	70724	106087
40	72453	104262
41	74215	102488
42	75905	100618
43	77625	98796
44	79410	97057
45	81090	95193
46	82951	93540
47	84650	91705
48	86435	89963
49	88363	88363
50	90140	86605
51	92025	84946
52	93968	83330
53	95764	81576
54	97590	79846
55	99438	78130
56	101289	76411
57	103261	74775
58	105185	73095
59	106955	71303
60	109056	69724
61	110986	68023
62	112875	66292
63	114879	64619
64	116841	62914
65	118736	61167
66	120589	59394
67	122593	57691
68	124509	55939
69	126335	54143
70	128161	52347
71	129969	50543
72	131787	48743
73	133629	46950
74	135375	45125
75	137243	43340
76	139170	41570
77	140923	39747
78	142713	37936
79	144548	36137
80	146415	34344
81	148329	32560
82	150183	30760
83	152021	28956
84	153869	27153
85	155669	25341
86	157499	23534
87	159330	21726
88	161258	19930
89	163047	18116
90	164894	16308
91	167024	14523
92	168861	12709
93	170641	10892
94	172975	9103
95	174992	7291
96	177046	5475
97	179028	3653
98	180968	1827
99	183074	0
