TRANSACTION_ID,TX_DATETIME,CUSTOMER_ID,TERMINAL_ID,TX_AMOUNT,TX_TIME_SECONDS,TX_TIME_DAYS,TX_FRAUD,TX_FRAUD_SCENARIO
0,2018-08-20 00:00:31,596,3156,57.16,31,141,0,0
1,2018-08-20 00:02:10,4961,3412,81.51,130,141,0,0
2,2018-08-20 00:07:56,2,1365,146.0,476,141,0,0
3,2018-08-20 00:09:29,4128,8737,64.49,569,141,0,0
4,2018-08-20 00:10:34,927,9906,50.99,634,141,0,0
5,2018-08-20 00:10:45,568,8803,44.71,645,141,0,0
6,2018-08-20 00:11:30,2803,5490,96.03,690,141,0,0
7,2018-08-20 00:11:44,4684,2486,24.36,704,141,0,0
8,2018-08-20 00:11:53,4128,8354,26.34,713,141,0,0
9,2018-08-20 00:13:44,541,6212,59.07,824,141,0,0
10,2018-08-20 00:16:59,4554,2198,58.06,1019,141,0,0
11,2018-08-20 00:17:44,2000,7997,66.38,1064,141,0,0
12,2018-08-20 00:18:01,1948,3372,54.51,1081,141,0,0
13,2018-08-20 00:19:22,2938,1516,22.0,1162,141,0,0
14,2018-08-20 00:19:49,2989,4111,28.42,1189,141,0,0
15,2018-08-20 00:20:03,3842,1693,26.23,1203,141,0,0
16,2018-08-20 00:20:25,4361,4322,92.69,1225,141,0,0
17,2018-08-20 00:20:40,4177,6270,65.15,1240,141,0,0
18,2018-08-20 00:20:48,3700,471,87.38,1248,141,0,0
19,2018-08-20 00:21:06,3671,4223,68.98,1266,141,0,0
20,2018-08-20 00:21:09,1270,931,140.75,1269,141,0,0
21,2018-08-20 00:22:14,2899,6019,36.58,1334,141,0,0
22,2018-08-20 00:23:32,4582,7998,48.3,1412,141,0,0
23,2018-08-20 00:25:24,508,9687,139.45,1524,141,0,0
24,2018-08-20 00:26:37,2323,1257,63.19,1597,141,0,0
25,2018-08-20 00:26:54,1152,8621,54.08,1614,141,0,0
26,2018-08-20 00:27:02,2389,9739,36.91,1622,141,0,0
27,2018-08-20 00:27:27,967,9401,74.32,1647,141,0,0
28,2018-08-20 00:28:07,616,7758,12.18,1687,141,0,0
29,2018-08-20 00:28:12,4205,2288,69.66,1692,141,0,0
30,2018-08-20 00:29:05,1106,1317,8.75,1745,141,0,0
31,2018-08-20 00:29:47,2605,6231,38.31,1787,141,0,0
32,2018-08-20 00:30:05,360,1611,92.74,1805,141,0,0
33,2018-08-20 00:30:45,4052,3260,5.69,1845,141,0,0
34,2018-08-20 00:31:27,3944,2696,75.0,1887,141,0,0
35,2018-08-20 00:31:51,1753,8676,115.78,1911,141,0,0
36,2018-08-20 00:32:35,183,4972,39.3,1955,141,0,0
37,2018-08-20 00:32:53,4563,4309,31.18,1973,141,0,0
38,2018-08-20 00:33:22,1546,2897,37.39,2002,141,0,0
